,id,description,jobflag
1767,1767,"Innovate and recommend advanced predictive analytics, computational science, Natural Language Processing (NLP), machine learning and deep learning techniques to answer research questions and synthesize insights that achieve business objectives.",1
1768,1768,Explore the state-of-the-art technologies and apply them to deliver customer benefits.,2
1769,1769,Define and implement appropriate automation of software development and operational activities,3
1770,1770,"Lead complex, large-scale projects for our Human Capital Management and Payroll Consulting group.",4
1771,1771,"Utilize various resources to obtain regional, industry, product, cost, or competitive market information in order to create trending and analysis. Utilize internal data and database information to create trending and analysis reports.",1
1772,1772,Collaborate across multi-functional teams to identify opportunities for improving the Advanced Engineering and Modeling and Simulation Experimentation Environment and Solutions.,3
1773,1773,Ability to develop strong relationships with Customers,3
1774,1774,"Build tools and support structures needed to analyze data, perform elements of data cleaning, feature selection and feature engineering and organize experiments in conjunction with best practices.",1
1775,1775,"Working in coordination with volunteer developers, editors, and researchers to understand their needs.",2
1776,1776,Develop and manage KPIs and present channel/vertical/LOB performance to leadership,1
1777,1777,Identify performance bottlenecks and build solutions for them,2
1778,1778,"Design and develop methods, protocols, and subsequently perform product testing where appropriate to support the calibration and validation of computational models.",3
1779,1779,"At client, the Data and Analytics organization is focused on unlocking the value of client's data to support the company's Wildfire Safety Program.",1
1780,1780,Review results with customer (within 2 days of job completion  if possible).,3
1781,1781,"Design, implement, ship and maintain highly visible     consumer-facing features",2
1782,1782,Develop and implement new software solutions,3
1783,1783,Collaborators. You're a great contributor to a high performing team that accomplishes great feats for our clients.,2
1784,1784,Conduct business process mapping and requirements gathering sessions with new customers to determine configuration requirements both on-site and remote.,4
1785,1785,"Proactively works with client and Account Management to ensure eligibility, indemnity, claims and other data exchanges are managed and functioning properly, collaborating with appropriate Operational and IT partners as needed.",4
1786,1786,Prepare technical documents for module manufacture and release,3
1787,1787,"Work with our engineering and product teams, translating their requirements and applying the latest machine learning techniques to solve real business problems, improve our platform, and develop new capabilities",2
1788,1788,"Consult with the cross-functional team throughout development, testing, and roll-out to ensure designs are understood, implemented, and communicated appropriately.",4
1789,1789,"Interfacing with internal and external customers, and identifying solutions and providing consultations as needed",3
1790,1790,Develop deal-making and deal structure approach on behalf of technical and operational teams.,4
1791,1791,"Ability to work with pre-sales engineers, solution architects and business analysts to understand business context, gather requirements and define the approach to offer and integrate solutions that combines software, data and services;",3
1792,1792,Able to respond to functional and technical elements.,3
1793,1793,Provide superior client service and analyze needs to achieve sales goals,4
1794,1794,"Design, build and scale Machine Learning systems across multiple domains.",2
1795,1795,Develop a S/W testing system for an embedded Linux/Android platform applications,3
1796,1796,"Determines computer uses needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming techniques and control",3
1797,1797,"Actively participates in the project planning process (e.g. estimates for project plan tasks, resources, completion time, capital requirements, risks, expenses, etc.)",3
1798,1798,"Incorporate core data management competencies - data governance, data security, data quality.",4
1799,1799,Articulate business opportunities using mathematical techniques to arrive at an answer using available data for modeling.,1
1800,1800,Work with internal clients and the Data Science team to solve problems,2
1801,1801,"Assist client with the identification, prioritization, coordination, and resolution of issues among various business areas and third-party vendors that impact production and quality of system implementation efforts",4
1802,1802,Maintain clinical content over time as software changes and clinical medicine changes,1
1803,1803,Vulnerability research or software reverse engineering skills,3
1804,1804,Collaborate with external clients and internal departments to understand company needs and devise possible solutions leveraging the power of Machine Learning.,1
1805,1805,Promote a culture of collaboration and inclusiveness.,3
1806,1806,"Ensure team commitment to following the adopted SDLC, and adhering to our SOC 2 policies and controls.",3
1807,1807,"Foster a culture of continuous process improvement through feedback, and metrics.",3
1808,1808,Provide expertise on the educator persona and market positioning,4
1809,1809,Manage and document changes made to software,3
1810,1810,"Design, build, deploy, monitor and support production deployment of data science solutions",2
1811,1811,"Parse, standardize, and analyze large volumes of data",1
1812,1812,"Inspect iterative results and propose improvements to technique, tools, and process.",3
1813,1813,"Work closely with wet- and dry-lab collaborators to design, analyze, and interpret high-dimensional datasets such as pooled library NGS screening, single cell RNAseq, and proteomics.",1
1814,1814,Work with key stakeholders and understand their needs to develop advanced solutions or improve existing solutions around data and analytics.,1
1815,1815,Assess skill gaps and develop mitigation efforts including training needs.,3
1816,1816,"Design, Implement, and Support Business Intelligence reporting using advanced data visualization and analytics tools, with a specific focus in Tableau.",1
1817,1817,Develop Test Scripts to automatically test ECU functional requirements for each ECU software release,3
1818,1818,A certain degree of creativity and latitude is required,3
1819,1819,"Stay up to date with new products, features, accessories, etc., and their benefits to customers.",4
1820,1820,Partner with SIS technical data engineers and software developers to ensure that projects remain within pre-defined scope throughout development sprints,4
1821,1821,Supporting system-level integration and validation.,3
1822,1822,"Participate in projects that combine front-end clients, back-end services, and low-level applications using many different programming languages including C, Python and HTML5 on all types of Linux systems.",3
1823,1823,Software architecture and coding,3
1824,1824,Address our customers' challenging mission requirement by developing new capabilities as well as making improvements to existing systems.,2
1825,1825,May Serve as technical lead for small projects and mentor other software engineers and developers.,3
1826,1826,"Design new software features through agile development practices such as chartering, story-mapping, and regular stand-up meetings.",3
1827,1827,Works with the Lead Clinical Data manager to plan and deliver the data quality and integrity reviews to meet overall data cuts/database locks.,1
1828,1828,Designing and applying (machine learning) algorithms for extraction of information from data of any kind,1
1829,1829,Participate in build and test automation and other efficiency improvement initiatives,3
1830,1830,Is curious and enthusiastic about new and unfamiliar technologies,2
1831,1831,Ability to network outside of fulfillment operations to share best practices,4
1832,1832,Lead Test case Debug engineer for PCT 5G FDD and TDD FR1 and FR2 based on the roadmap provided by,3
1833,1833,"Thoroughly unit test development components to ensure features, functions and customizations are problem-free with minimal negative impact on members/users and ensuring systems are easily maintainable.",3
1834,1834,Improve literacy in the value and use of data and advanced analytics across the organization by leading successful implementation of data and analytics initiatives across regions and countries,1
1835,1835,Optical Simulation and Design,3
1836,1836,"Identify appropriate algorithms to discover patterns, optimize user experience,",1
1837,1837,"Must understand DQs business practices and the applications/systems that support them Prepare documentation using tools such as Visio, Word and Excel Other duties as assigned Mentor, Create Standards and Implement Process Improvements Mentor less experienced members of the Software Quality Assurance team Suggest, define, and implement new process and testing standards for the team Act as a resource to business stakeholders in their test plan and case development",3
1838,1838,Work on projects that form part of customers transition into the software-defined way of the future.,3
1839,1839,Possess a proven ability to drive business results with their data-based insights and be comfortable working with a wide range of stakeholders and functional teams.,1
1840,1840,Gather requirements and produce quality functional design documentation,4
1841,1841,"Stay up to date with tech, prototype with and learn new technologies, proactive in technology communities",1
1842,1842,"Support the development , update, validation, and documentation of software utilized in the automated testing of printed circuit boards and finished medical devices",3
1843,1843,ability to work independently with minimal supervision,1
1844,1844,Apply problem-solving skills to design and build efficient and reusable abstractions and systems,3
1845,1845,"Understand new data sources and process pipelines, and catalog/document them",1
1846,1846,Keep up to date with latest technology trends,1
1847,1847,Communicate with customers on any issue they have and help understand the root cause through use cases,3
1848,1848,Oversee security and data access best practices,3
1849,1849,"Maintain structural engineering work procedures, specifications and computer aided design programs",3
1850,1850,Budget monitoring and trend tracking.,3
1851,1851,"Perform coding, debugging, testing, and troubleshooting throughout the development process",3
1852,1852,Participation in on-call rotation,3
1853,1853,"Building long-term, mutually beneficial relationships with all influencers",4
1854,1854,Work as part of a project team to coordinate database development and determine project scope and limitations.,3
1855,1855,Help define technical practices to improve the speed and quality for resolution of customer and field reported issues.,3
1856,1856,"Actively participate and able to project manage in all stages of model development from data collection, data quality control, model building, model validation, testing and calibration.",1
1857,1857,"Object-oriented design, coding and application of architectural design patterns",3
1858,1858,Participate in software design and code reviews,3
1859,1859,"Maintain daily activities in business management platform, ConnectWise, to track interactions with both customers and prospects.",4
1860,1860,"Building efficient, reusable and testable PHP modules.",3
1861,1861,Verify System-Level Functional requirements per system requirements using a dSPACE systems test bench,3
1862,1862,"Analyze, manipulate, and synthesize insights from large data sets for both qualitative and quantitative research",4
1863,1863,Responsible for meeting with key business users to understand business needs and strategy,4
1864,1864,Design and develop software systems using scientific analysis and mathematical models to predict and measure outcome and consequences of design.,3
1865,1865,Develops and executes testing protocols for new raw materials and products.,3
1866,1866,Assisting local independent representatives in managing sales activities with design engineers,3
1867,1867,Support CI/CD pipeline and other automation tasks.,3
1868,1868,"Own the resolution of any owner billing adjustments, delivery issues, and post-sale service or consumer relations issues. Work with adjacent teams as needed to ensure an effortless experience for the owner.",4
1869,1869,Train other business and IT staff on basic data science principles and techniques,1
1870,1870,"Identify opportunities to apply Machine Learning and Artificial Intelligence to build, test, and validate predictive models.",1
1871,1871,Must be able to work within a high regulated environment and write appropriate documentation.,1
1872,1872,Partner with managers and stakeholders to drive projects forward,3
1873,1873,Ensure quality of solutions generated and review teams efficiency and provide recommendations for improvements,3
1874,1874,Communicate results and ideas to key decision makers.,1
1875,1875,Partner with other operational areas to identify opportunities     for new projects.,1
1876,1876,Display drive and curiosity to understand the business process to its core,1
1877,1877,"May propose, evaluate and implement process improvements to     increase efficiency and effectiveness.",1
1878,1878,Sell genetic diagnostic testing services to new customers,4
1879,1879,"Work closely with development teams in instrumenting their workflow to build a comprehensive picture of velocity, coverage and quality",3
1880,1880,Work with a machine-learning-first mindset,2
1881,1881,"Provide project level architecture, if necessary.",3
1882,1882,"Ensure controls system requirements are captured, structured, and modeled",3
1883,1883,"Designing new methodologies, pulling necessary data, building statistical and machine-learned models with accuracy, and analyzing experiments, applying critical thinking throughout.",1
1884,1884,brief dashboard to stakeholders and train new users,1
1885,1885,Fundamental understanding of VLANS,3
1886,1886,Make decisions on product/process quality based on evaluations.,3
1887,1887,"Maintains academic and industry relationships for the purposes of research; Maintains expertise and awareness of cutting edge techniques, technologies and potential business solutions.",1
1888,1888,"Apply expertise in Machine Learning and data mining techniques: feature engineering, regression, classification, anomaly detection, time series analysis etc",2
1889,1889,"Responsible for determining the functional solutions for the areas related to Business Operations to ensure the solution is of the highest standard possible within the scope, timeline and budget for the project",4
1890,1890,"Lead the design, development and execution for all battery related projects for magniX.",3
1891,1891,Protects organization's value by keeping information confidential.,3
1892,1892,"This requires periodic reviews to monitor and test our ""controls"" for efficacy and work with the business to close any identified ""gaps""",4
1893,1893,"You'll plan, research, and create high-quality communications deliverables including: presentations, briefings, email announcements, and reports.",4
1894,1894,"Prospects, establishes, and maintains relationships with customers to create opportunities for future and sustainable business.",4
1895,1895,Develop Machine Learning pipelines,2
1896,1896,Performs software project management and software supplier management functions,3
1897,1897,Contribute to Chrome products touching the Partners ecosystem and build a portfolio of tools for seamless integrations with Chrome OS and Chrome Browser.,3
1898,1898,Creative thinker with the ability to synthesize information from various sources and apply that information to concrete business problems.,3
1899,1899,Create a detail scope confirmation and generate documentation for integration bolt-on gaps and/or the development of custom integration plug-ins as needed,4
1900,1900,"We use regression, Bayesian methods, tree-based learners, SVM, RF, XGBOOST, time series modelling, dimensionality reduction, SEM, GLM, GLMM, clustering etc on a regular basis.",1
1901,1901,Skilled designing software interfaces based on commercial technologies,3
1902,1902,Develop estimates and participate in the grooming and prioritization of sprint stories,3
1903,1903,Supports acquisition of hardware and software (or subcontractor services as needed),3
1904,1904,"Support new proposals, change orders, business development efforts, and strategic initiatives",4
1905,1905,Ability to follow policies and procedures; complete administrative tasks correctly and on time,4
1906,1906,Definition of algorithm test procedures,1
1907,1907,Collaborate with software development to implement and deploy newly developed technologies and algorithms,1
1908,1908,Interprets existing procedures to solve complex problems independently,4
1909,1909,Builds software applications across multiple platforms in response to the needs of stakeholders.,3
1910,1910,Acts as a liaison between IT and business units by:,4
1911,1911,"Basic data engineering, involving developing simple ETL jobs or deploying services on EC2 instances or docker containers",1
1912,1912,"Assume responsibility for risk assessment, including hazard and operability (HAZOP) studies for the health and safety of both plant staff and the community. Apply principles of mass, momentum and heat transfer to process and equipment design, including conceptual, scheme, and detail design. Ensure that all aspects of the operation and process meet specified safety and environmental regulations.",3
1913,1913,"Consistently demonstrates regular, dependable attendance and punctuality.",2
1914,1914,"Understand interfaces, functions, and features of the target subsystem",3
1915,1915,Meet with insurance adjuster to discuss the scope of damages,4
1916,1916,"Build high-quality prediction systems that solve our customers' business problems by applying data mining and machine learning techniques; doing statistical analysis; and exploring, interpreting, and analyzing datasets for patterns of interest",1
1917,1917,"Perform data manipulation, wrangling, cleansing and analysis;",1
1918,1918,"Collaborate to refine requirements, design and create solutions which target defined business needs.",3
1919,1919,Suggest training tools to enhance employee performance and skill development.,3
1920,1920,Better leverage of various types of data,1
1921,1921,"Troubleshoot and develop Hive, Pig, Flume, Mango DB, Sqoop, Zookeeper, Spark, MapReduce2, YARN, HBase, Kafka and Strom.",3
1922,1922,Monitoring and synthesizing market research relative to our clients,4
1923,1923,Collaborate with engineering team developing next generation data analytics platforms  for both commercial and military applications.,1
1924,1924,Clean & structure the data and build training & validate data sets by applying advance feature-engineering techniques.,2
1925,1925,"Foster an environment of learning and collaboration within an analytics community of practice, sharing knowledge from previous projects, conferences, courses, etc. and applying knowledge from the experiences of others.",1
1926,1926,Works under general supervision.,3
1927,1927,Write comprehensive unit and end to end tests through the SDLC as well as collaborate with the QE team.,3
1928,1928,Perform other job functions as assigned,3
1929,1929,Creating database schemas that represent and support business processes.,3
1930,1930,Optimize code to perform at scale,2
1931,1931,"40-50% travel to customer sites, ability to travel weekends if engagement requires",4
1932,1932,Ability tomonitor and evaluate application performance and identify areas to improveperformance and availability,3
1933,1933,"Documents research, client communication, and issue resolution in technical support tools. (Approx. 10%)",4
1934,1934,Developing small websites - frontend/backend applications.,3
1935,1935,Work with Product Management to provide feedback on issues with current,4
1936,1936,Track state-of-the-art developments in software engineering and AI,3
1937,1937,Coordinate with teams and vendors to ensure accurate data collection,1
1938,1938,Build and maintain ETL pipelines in Apache Airflow,1
1939,1939,Works closely with customers technical and management team to gain a deep knowledge of unique use case environments to resolve issues and build custom solutions.,3
1940,1940,"Make a solid contribution to team development efforts using tools such as source control, etc.",3
1941,1941,"Build scripts to automate, clean, transform, cross-reference and merge large sources of data utilizing Python",1
1942,1942,"Leverage your expertise to recommend the best solution based on requirements, budget, and timeframe; with the flexibility to adapt the scope as additional needs are identified.",4
1943,1943,Limited travel to healthcare sites will be required,1
1944,1944,"Estimate, prioritize, plan and coordinate testing activities",3
1945,1945,elicit dashboard requirements from customer,1
1946,1946,"Work with large scale dataset which includes transactional, click-stream, and telematics data",1
1947,1947,Develop and implement test plans and test cases.,3
1948,1948,Ability to deal with people in a professional and courteous manner,4
1949,1949,Support the development of strategies that align to the long-term goals and visions of Teradata,1
1950,1950,"Perform assigned client engagements from start to finish, proactively communicating issues to management.",4
1951,1951,"Design, develop, code, test and debug software.",3
1952,1952,Commitment to continuous learning and improvement of development and quality strategies,3
1953,1953,"Ability to interact in written and oral form with clients, management and all levels of company personnel",4
1954,1954,Working with teams and alone to design and implement AI models,2
1955,1955,Interact with all departments across entire entity structure to define project scope and product requirements,3
1956,1956,Troubleshoot and modify test tools and test scripts,3
1957,1957,Performs trouble-shooting efforts and investigations when necessary,3
1958,1958,Conduct research into shipyard relate topics,4
1959,1959,Prepares users by designing and conducting training programs; providing references and support.,3
1960,1960,"Conducts audits as member of a quality system audit team (e.g. SME, etc.)",3
1961,1961,"Research, design, develop, enhance, and implement the different components of machine learning compiler based on performance and code-size needs of the customer workloads and benchmarks.",2
1962,1962,"Build an ad targeting system to find the most relevant users for ads through interest, keyword and audience targeting",2
1963,1963,Interprets and analyzes business requirements or change requests and partners with IT technical support teams to solve business problems and enhance business value.,4
1964,1964,Triage production issues and affect solutions,3
1965,1965,Adding support for EMV with different card readers to our Android-based point-of-sale system,3
1966,1966,Write production code to produce data infrastructure and automation of tasks,1
1967,1967,"Refine algorithms for the platform to address performance, scalability, availability and security requirements",2
1968,1968,"Design and development of user interfaces using Eclipse, Qt Creator and other IDE's on a Linux operating system.",3
1969,1969,"Optimize Workday and other HR technology systems to meet workflow     requirements creating opportunities for automation, reduction of     manual processes, and simple processes that help drive accuracy and     completeness, from small tweaks to complete reengineering.",4
1970,1970,"Develop, analyze, and model operational, economic, management, accounting, or other organizational data to quantify and predict the competitive performance of our Lines of Businesses.",1
1971,1971,"Communicate complex machine learning ideas, designs, and processes to both technical and non-technical stakeholders.",1
1972,1972,Execute audit objectives that effectively address key controls and risks for Internal Audit clients on an outsourced basis,4
1973,1973,Monitor and resolve performance issues specific to dashboard development and delivery.,1
1974,1974,"Create and interpret strategic and operational analyses, assess options objectively, and present conclusions and recommendations to all levels of management",1
1975,1975,"Ability to generate protocols, reports, and presentations to share information with team members and independent reviewers as part of Technical Reviews and Constructive Challenge.",3
1976,1976,"Learn the business inside and out, interfacing with domain knowledge experts",2
1977,1977,Apply software engineering best practices to the development of Auptimizer including architecting its design to writing unit tests.,2
1978,1978,Develop new product embedded firmware specifications and write statements of work (SOW),3
1979,1979,Apply Machine Learning and Artificial Intelligence expertise to build prototypes and translate them into product features.,1
1980,1980,"Requirements development, modeling and design",3
1981,1981,Field based position and up to 20% overnight travel.,4
1982,1982,Provides management with review opportunities at key points and upon completion,3
1983,1983,"Some of the products that are being delivered include Remote Inspections, AI Enabled Inspections, Vegetation Management through LiDAR capabilities, Transmission Line Asset Data Foundation, Electric Distribution Asset Data Foundation, Asset Risk Modeling, and a Cloud Native Foundational Platform.",1
1984,1984,Complete all work in a safe manner consistent with Avanos Medical safety & quality protocols.,2
1985,1985,"Participate in writing, presenting and reviewing strategic and operational reports",2
1986,1986,Perform software design and coding according to our company and accepted secure coding patterns applying best practices with respect to information security.,3
1987,1987,Solidify existing algorithms working with combination of various subsurface data,1
1988,1988,"Coordination with Business Intelligence data engineers, developers, analysts, and architects to ensure integration of functionality and toolsets.",1
1989,1989,"Deploying models to production, and showcase use case in the form of REST API",2
1990,1990,Development of Logical Solution Design document.,4
1991,1991,Build mathematical models using the data.,1
1992,1992,Collaborate with data analytics team to define new platform requirements and continuously improve our horizontally scalable data lake,1
1993,1993,"Create, update, and troubleshoot visual analytic templates",1
1994,1994,"Lead ad-hoc analysis to understand unanticipated metric movements or forecasting variance and communicate results to other data scientists, finance analysts and senior leadership",1
1995,1995,"Independently demonstrates the principles of an effective Compliance program, including, but not limited to, risk assessment, auditing and monitoring, maintaining effective compliance policies and procedures, and effective communication and training",4
1996,1996,"Work in a global environment to Interact with multi-site team members (India, Israel, Singapore and USA) during software product life cycle for requirement analysis, design, coding, integration and testing",3
1997,1997,Communicating test results to project teams (internal and external) in a clear and comprehensive manner to aid in resolution,3
1998,1998,"Conduct threat actor based investigations, identify/detect actor methodologies, and provided expert support to incident response and monitoring functions.",1
1999,1999,Help integrate features into system test beds.,3
2000,2000,"Familiar with sensors, transducers, physiologic modeling, and transfer functions",3
2001,2001,Provide analytic support to the data science team.,1
2002,2002,"Recommends viable solutions to processes, technology, and interfaces that improve the effectiveness of the team and reduce technical debt.",3
2003,2003,Executes and documents software research and development projects,3
2004,2004,"All work will be performed at the client site in Lincoln, NE. We are interested in local candidates, as well as anyone willing to relocate or travel to Lincoln.",4
2005,2005,Manage the full life cycle of model builds.,1
2006,2006,Maximizes sales opportunities by planning and managing selling time; analyzing market sales data to identify and pursue high probability opportunities,4
2007,2007,Manage execution and close out phases of project,4
2008,2008,"Design and develop software using C#, ReactJS and SQL Server deployed to a pure cloud environment using Microsoft Azure.",3
2009,2009,Working with different business organizations across the company to understand their needs and help identify new opportunities.,1
2010,2010,Support solution ideation sessions with customers,3
2011,2011,Working with Software Engineers and SaaS Operations to package and deploy the models,1
2012,2012,"Conceptualize, design and deliver high-quality solutions and insightful analysis",1
2013,2013,Maintain accurate client network documentation,3
2014,2014,Develop and apply algorithms. Analyze complex unstructured data sets to recommendations and implement solutions.,1
2015,2015,"Envision, experiment, build (or discard), and deliver ML products that can disrupt the EdTech space",2
2016,2016,Assist engineers with appropriate design details,3
2017,2017,"Develop algorithms to aid doctors in medical diagnosis using tools that may include statistics, decision support systems, and image processing",1
2018,2018,"Deliver informative and effective findings, results and recommendations from statistical analysis to stakeholders (able to articulate the findings clearly to both technical and non-technical audiences)",1
2019,2019,Provide support for production and flight systems.,3
2020,2020,Build end-to-end direct capabilities,4
2021,2021,"Deliver quality code and fixes, on time, with rigorous testing",3
2022,2022,Write defects and perform defect verification,3
2023,2023,Use continuous integration tools to develop application test and deployment pipelines.,3
2024,2024,Schedule appointment with qualified homeowners.,4
2025,2025,Modify code if unit test fails,3
2026,2026,Help develop standard operation practices and support the Operations Teams through UAT and after go-live,1
2027,2027,"Work in a high-performing team to identify new revenue opportunities and extract interesting insights (patterns, correlations, etc.) from large data sets using dashboards, visualizations, and other reporting solutions including SAP Business Objects, Google BigQuery, Tableau, or other tools",1
2028,2028,Perform independent research in an open team.,2
2029,2029,"Support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,",1
2030,2030,"Utilizing agile software development methods, automation, and continuous integration",3
2031,2031,"Consult with managerial and technical personnel to clarify program intent, identify problems, and suggest changes",3
2032,2032,People Development: Perform role of mentor; provide input and guidance into the staffing process; actively participate in staff recruitment and retention activities; provide leadership and support for delivery team members and staff.,4
2033,2033,Recommend ongoing improvements / tuning to methods and algorithms currently in use/production,1
2034,2034,Reduction of cycle times and improvement of the precision for subsurface interpretations,1
2035,2035,"Work with project and product managers to achieve on-time, on-cost delivery",3
2036,2036,"Lead complex, large-scale projects for our HCM and Payroll Consulting group.",4
2037,2037,Build predictive models and machine-learning algorithms,2
2038,2038,"Participate in projects as a member of an Agile/Scrum team including: project estimation, task creation and driving to complete tasks in each sprint in a timely manner.",3
2039,2039,"Primary responsibility will be designing, developing, deploying and establishing support documentation of Microsoft based solutions across a variety of distributed platforms.",3
2040,2040,Develop prototypes to prove out key design concepts and quantify technical constraints,3
2041,2041,"Onsite equipment includes SEM, FIB, XRD, XPS, AFM, FTIR, and UV-VIS-NIR Spectrophotometers",3
2042,2042,"Collaborate with DevOps, Architecture and infrastructure teams to implement conformant build/deploy pipelines specific to Machine Learning and Analytic workloads.",2
2043,2043,Stay on top of expanding technologies and engineering trends.,3
2044,2044,Develop and implement novel models and algorithms for advanced safety-critical automation and robotic applications using Python and C++.,3
2045,2045,Host and assist with company sponsored trade shows and conferences,4
2046,2046,"Participate in requirements, design, code, and test reviews, as required.",3
2047,2047,Develop technical specifications for software/firmware projects,3
2048,2048,Continually seeks opportunities to increase customer satisfaction and deepen client relationships,4
2049,2049,Think strategically and apply that through to innovative solutions,2
2050,2050,"Design, develop, optimize, and maintain data architecture and pipelines that adhere to ETL principles and business goals.",2
2051,2051,Ensure that technical software development process is followed and drive continuous improvement through thoughtful feedback and ideas.,3
2052,2052,Troubleshoot and optimize streaming/queuing applications,3
2053,2053,Providing project management and change management support on     large- or small-scale transformation projects,4
2054,2054,May act as Project Leader. Focuses on providing thought leadership and technical expertise across multiple disciplines.,4
2055,2055,"Configure and tune alerting systems to help understand anomalies, outages and performance issues in video operations",1
2056,2056,"For the assigned applications, functional areas or projects:   Develop and maintain thorough system knowledge   Participate in problem solving and troubleshooting   Facilitate functional test planning and testing   Work with the team to maintain system quality",3
2057,2057,"Develop internal monitoring, reporting and risk management tools",3
2058,2058,"Creates and maintains automated test cases, executes test suites, reviews and diagnoses reported bugs, and ensures overall system quality prior to a customer release.",3
2059,2059,You will write backend code using Scala.,3
2060,2060,Working on leading-edge vehicle systems such as ADAS/AD. Integration of electronic control units into various applications.,3
2061,2061,Document and design various processes; update existing processes,3
2062,2062,Create new JDBC data connectors,1
2063,2063,Perform in-depth profiling and tracing studies to identify and resolve performance bottlenecks.,3
2064,2064,Follow all best practices and procedures as established by the company,3
2065,2065,Drive organization to improve data integrity for company-wide analytics,4
2066,2066,Partner with Solutions Architects to provide input to technology and delivery capabilities,3
2067,2067,Clean and prune data to discard irrelevant information,1
2068,2068,Clearly communicate status and issues and suggest alternative paths forward,3
2069,2069,We are currently sourcing for a Java/Scala Software Engineer to work in Asset Management technology,3
2070,2070,Works closely with all business units to develop strategy for long term data platform architecture.,3
2071,2071,Process/manipulate geospatial data and provide recommendations to provide additional utility beyond manual exploitation,1
2072,2072,"Programming expertise with the following: Java, JavaScript, J2EE, JSP, EJB, AngularJS, Ajax, Glide, Jelly, HTML, CSS, JQuery, and Bootstrap Toolkit.",3
2073,2073,"Will work to develop software prototypes, prepare technical reports for publication",2
2074,2074,Develop and clearly communicate engineering plans with the program management and the customer,3
2075,2075,Assist in the creation and review of specification documents,1
2076,2076,"Be responsible for designing machine learning algorithms and implementing them in robust, efficient, and well-tested C++ and/or Python code.",2
2077,2077,Be responsible for SAP ISU-Device Management solution design on client projects,4
2078,2078,Own the end to end process for machine learning deliverables; From defining the project scope to model deployment,2
2079,2079,Provide off-hours operational support when necessary and participate in the on-call rotation.,3
2080,2080,"Ensure that technical delivery is fully compliant with GSK Security, Quality and Regulatory standards",3
2081,2081,"Analyze and verify software application performance through data analysis, simulation, and measurement",1
2082,2082,Completes sales paperwork in an accurate and timely manner - documents all estimates with any special packing and delivery instructions.,4
2083,2083,Recommending resolutions to issues arising during the project,4
2084,2084,Implement technical projects at customer site,3
2085,2085,"Project management including not only the day-to-day delivery and timeline of the projects but also delivering client presentations for client pitches, and other key meetings.",4
2086,2086,Analyze application batch flows and set them up in LLE's with automation.,4
2087,2087,Pro-actively determine best methods to gather new and existing data to solve complex problems,1
2088,2088,Balance sustaining and new product development projects,3
2089,2089,Shipyard design and development,4
2090,2090,Work closely with other product development disciplines like product management and user experience to make sure we are building the best possible products,3
2091,2091,Provide client support until activation and completion of the project,4
2092,2092,Ability to perform light travel requirements as needed to meet business demands (on average 20%).,4
2093,2093,Initiating and maintaining a data catalog for each business unit,1
2094,2094,"Execute new and current business development by generating prospect/customer drawings, specifications, inquiries, maintaining organization of ongoing programs and working closely with customers & foreign and domestic suppliers.",3
2095,2095,"Monitor functioning of equipment to ensure systems operate in conformance with required specifications to ensure that systems and processes operate effectively, efficiently and safely.",3
2096,2096,Develops and maintains code and integrates software components into a fully functional software system.,3
2097,2097,"Strong technical understanding of software, firmware and hardware interaction.",2
2098,2098,This is a high-impact role for an experienced Mobile Software Engineer to be part of the team defining a new Client product category that will improve people's lives in ways no other company can.,3
2099,2099,"Relates requirements from the Customer to the Technical Services Manager, Team Leaders, Developers and QA",4
2100,2100,Apply software engineering principles to design software specifications for Service Oriented Architecture objects and applications.,3
2101,2101,"Develop, organize, plan, validate and document test methods that may be used for product development.",3
2102,2102,Managing sales opportunity progress through Salesforce,4
2103,2103,"Develop cross-team relationships and collaborate with critical business partners to ensure proper standards are met. Teams included but are not limited to (Platform/Infrastructure, Data Architect, Solution Architect, Product, Engineering, Security, etc.)",2
2104,2104,Developing and evaluating new model architectures which improve the accuracy of our prediction models.,2
2105,2105,"Ensure quality deliverables within timeline, working under a project plan and design",1
2106,2106,Work with project personnel in a professional and mature manner in order to maintain the integrity of the Company and relationships formed therein,4
2107,2107,"Deploy a Hadoop cluster, maintaining a Hadoop cluster, adding and removing nodes using cluster monitoring tools like Ganglia Nagios Cloudera Manager.",3
2108,2108,Write clear and concise software documentation,3
2109,2109,Supporting the sales team with technical expertise,3
2110,2110,Operate and provision into cloud environments:,3
2111,2111,"Participate in design reviews, release planning, estimating, demonstrations and retrospectives",3
2112,2112,Provides direction and guidance to less experienced staff,4
2113,2113,Collaborating with cross-functional teams in order to deploy machine learning algorithms to production level systems.,3
2114,2114,"Promote and expand collaborative partnerships with BD business R&D teams, external partners, academic institutions, software vendors, and other related organizations.",3
2115,2115,"Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress",2
2116,2116,Understand and analyze the interplay between machine learning accelerator software and hardware.,2
2117,2117,"Prepare presentations and technical reports to illustrate and explain analyses, tools, applications and findings.",1
2118,2118,Perform exploratory data analysis for discovering insights;,1
2119,2119,"Responsible for accurately maintaining maintenance logs for all vessel related equipment, such as engine room equipment, mechanical and electrical, deck machinery and equipment, ship, hull, hotel facilities etc.",3
